id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
75,Android Developer,Technology,Senior,9,Master,"Experienced Android Developer with 4 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",3,0,7,108593,Remote,True,0.8666563246547903,83,0.45440445848803235
76,Mobile Developer,Healthcare,Junior,11,PhD,"Experienced Mobile Developer with 2 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",2,4,16,98619,On-site,False,0.6064008258086853,72,0.7183612191798778
77,Product Manager,Healthcare,Entry,0,High School,"Experienced Product Manager with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",8,1,13,92033,On-site,False,0.7282833393443566,70,0.5580305472593942
78,Mobile Developer,Manufacturing,Senior,1,Master,"Experienced Mobile Developer with 4 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",6,4,10,120725,Remote,False,0.7287246311629636,75,0.4173545307781467
79,Mobile Developer,E-commerce,Junior,3,PhD,"Experienced Mobile Developer with 2 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",3,4,7,44655,Hybrid,False,0.987856614115447,73,0.6448481284912133
80,Data Scientist,Education,Entry,0,Bachelor,"Experienced Data Scientist with 1 years in software development. Proficient in Tableau, SQL, Scikit-learn, NumPy. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Tableau', 'Experienced']",7,0,10,91522,Hybrid,True,0.6321851280482207,44,0.6617701114751449
81,DevOps Engineer,Finance,Lead,1,Bachelor,"Experienced DevOps Engineer with 5 years in software development. Proficient in Terraform, AWS, Jenkins, Ansible. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Terraform', 'Jenkins', 'Strong', 'Proficient', 'Engineer', 'Led', 'Ansible', 'Experienced']",8,0,4,42600,Hybrid,False,0.8443237054426445,88,0.7926760231614378
82,Product Manager,Education,Senior,4,Bachelor,"Experienced Product Manager with 4 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",2,1,8,30729,Hybrid,True,0.8877070145545982,87,0.4849120906028066
83,Data Scientist,E-commerce,Senior,9,PhD,"Experienced Data Scientist with 4 years in software development. Proficient in Scikit-learn, Python, SQL, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Experienced']",3,3,19,47421,Remote,False,0.8364663233689995,67,0.8628968420162793
84,ML Engineer,Technology,Entry,2,Master,"Experienced ML Engineer with 1 years in software development. Proficient in Python, TensorFlow, PyTorch, Docker. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",8,3,12,34063,On-site,False,0.46387054096950464,94,0.6928662188979868
85,Frontend Developer,Education,Senior,8,High School,"Experienced Frontend Developer with 4 years in software development. Proficient in JavaScript, HTML, CSS, Angular. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",4,0,2,126157,Hybrid,False,0.7208490806246792,56,0.818375294319002
86,Project Manager,Technology,Junior,8,High School,"Experienced Project Manager with 2 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",1,0,19,113278,Remote,False,0.8768036790873268,51,0.7740608129771162
87,ML Engineer,Manufacturing,Lead,10,Master,"Experienced ML Engineer with 5 years in software development. Proficient in Docker, Kubernetes, Python, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Kubernetes']",9,3,19,124671,On-site,False,0.6235572536533621,79,0.785759790163277
88,ML Engineer,E-commerce,Entry,8,Master,"Experienced ML Engineer with 1 years in software development. Proficient in PyTorch, Python, MLOps, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",4,0,13,47037,Remote,False,0.8552160555587676,45,0.814279240699346
89,DevOps Engineer,Education,Lead,7,Master,"Experienced DevOps Engineer with 5 years in software development. Proficient in AWS, CI/CD, Terraform, Kubernetes. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Terraform', 'Strong', 'Proficient', 'Engineer', 'Led', 'Kubernetes']",2,3,4,62356,Hybrid,False,0.727490339835231,48,0.8655978994346886
90,Project Manager,Education,Principal,12,PhD,"Experienced Project Manager with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",1,0,1,134591,Hybrid,True,0.30132021388296987,94,0.4744395771510185
91,UI/UX Designer,Finance,Principal,4,High School,"Experienced UI/UX Designer with 6 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",5,3,3,134566,On-site,False,0.4537635857035393,75,0.4982658065578396
92,Data Engineer,Finance,Entry,4,Bachelor,"Experienced Data Engineer with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",5,3,9,112644,On-site,True,0.6165478636609072,57,0.8146196171661828
93,Data Scientist,E-commerce,Entry,14,PhD,"Experienced Data Scientist with 1 years in software development. Proficient in Pandas, Python, TensorFlow, NumPy. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Experienced']",4,2,3,86758,On-site,True,0.9901806391446839,86,0.5704024172901858
94,Cloud Architect,Education,Lead,6,Master,"Experienced Cloud Architect with 5 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",3,1,5,97611,Hybrid,False,0.6226695928796149,89,0.49834850856388546
95,Data Engineer,Finance,Junior,12,Master,"Experienced Data Engineer with 2 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",6,0,3,31006,On-site,False,0.8796288103742891,91,0.7767132279131586
96,Frontend Developer,Technology,Senior,9,Bachelor,"Experienced Frontend Developer with 4 years in software development. Proficient in Vue.js, Angular, CSS, HTML. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",7,2,5,124577,On-site,True,0.513214401744293,54,0.9896642244827037
97,Security Engineer,Manufacturing,Senior,1,Bachelor,"Experienced Security Engineer with 4 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",1,4,8,34235,On-site,False,0.4286646646091383,76,0.9976753358448573
98,Product Manager,Healthcare,Entry,12,Bachelor,"Experienced Product Manager with 1 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",1,2,5,58193,On-site,False,0.4646647841671725,46,0.9038898416519785
99,UI/UX Designer,Finance,Senior,4,High School,"Experienced UI/UX Designer with 4 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",1,0,16,145840,Hybrid,False,0.9043474751918963,65,0.5081519554427187
100,Frontend Developer,Healthcare,Entry,5,Master,"Experienced Frontend Developer with 1 years in software development. Proficient in Angular, TypeScript, CSS, Vue.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led', 'Experienced']",1,4,10,83426,Hybrid,False,0.7269236747386685,46,0.856766596222867
101,Mobile Developer,Manufacturing,Junior,10,PhD,"Experienced Mobile Developer with 2 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",9,4,1,100516,Hybrid,False,0.528676133048958,84,0.8753536037317344
